City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Faya,18.39,42.45,77.0,27,46,16.11,SA,1592804097
Redmond,47.67,-122.12,57.99,82,23,2.35,US,1592803919
Kvitok,56.07,98.48,73.35,54,77,6.22,RU,1592804097
Pout,14.77,-17.06,78.8,83,0,9.17,SN,1592804098
Jämsä,61.86,25.19,60.8,63,7,6.93,FI,1592804098
Katherine,-14.47,132.27,84.2,23,0,16.11,AU,1592804098
Craig,40.52,-107.55,55.4,71,1,3.36,US,1592804098
Naryan-Mar,67.67,53.09,43.23,87,100,7.83,RU,1592804098
Beringovskiy,63.05,179.32,53.29,49,4,6.89,RU,1592803628
Verkhnevilyuysk,63.45,120.32,80.06,27,5,11.63,RU,1592804098
Santa Rosa,14.31,121.11,95.0,56,20,6.93,PH,1592804098
Brae,60.4,-1.35,55.4,87,51,12.75,GB,1592804099
Kandrian,-6.22,149.55,82.2,83,79,7.58,PG,1592804099
San Angelo,31.46,-100.44,86.0,58,100,3.0,US,1592804099
Nagahama,35.38,136.27,82.0,65,75,2.24,JP,1592804099
Broken Hill,-31.95,141.43,57.2,47,90,23.04,AU,1592804099
Grand Gaube,-20.01,57.66,73.99,81,3,5.01,MU,1592803632
Marzuq,14.4,46.47,92.25,15,2,2.33,YE,1592804099
Xiuyan,40.29,123.27,82.99,48,71,10.31,CN,1592804099
Lodeynoye Pole,60.73,33.55,67.44,45,0,1.77,RU,1592804099
Isiolo,0.35,37.58,75.49,55,87,0.65,KE,1592804100
Vardø,70.37,31.11,46.4,81,40,5.82,NO,1592803625
Bilibino,68.05,166.44,81.93,30,46,14.72,RU,1592803821
Innisfail,-17.53,146.03,73.44,75,37,8.21,AU,1592804100
Bluffton,32.24,-80.86,81.0,83,1,6.93,US,1592804100
Mayor Pablo Lagerenza,-19.93,-60.77,72.72,78,85,4.83,PY,1592804100
Tetiz,20.97,-89.93,77.0,88,75,5.82,MX,1592804100
Arlit,18.74,7.39,90.09,11,7,8.57,NE,1592804100
Dunedin,-45.87,170.5,42.01,79,0,4.0,NZ,1592804101
Santiago del Estero,-27.8,-64.26,60.26,59,100,5.77,AR,1592804090
Demirci,39.05,28.66,77.0,10,0,58.0,TR,1592804101
Valparaíso,-33.04,-71.63,44.6,100,19,2.24,CL,1592804101
Mosquera,4.71,-74.23,53.6,93,75,3.36,CO,1592804101
Lazo,43.38,133.9,65.48,80,100,2.77,RU,1592804101
San Policarpo,12.18,125.51,85.64,72,34,11.07,PH,1592804101
Waipawa,-41.41,175.52,54.0,73,89,1.99,NZ,1592804102
Port Hardy,50.7,-127.42,53.6,87,90,2.24,CA,1592803443
Kutum,14.2,24.67,84.36,12,13,8.5,SD,1592804102
Trairi,-3.28,-39.27,73.49,86,32,8.12,BR,1592804102
São João da Barra,-21.64,-41.05,70.29,88,0,7.43,BR,1592803624
Tigzirt,36.89,4.12,73.9,52,0,7.2,DZ,1592804102
Zanjān,36.67,48.48,68.0,42,20,2.24,IR,1592804102
Albanel,48.88,-72.45,77.0,61,20,8.05,CA,1592804102
San Vito,8.82,-82.97,70.0,64,97,5.01,CR,1592804103
Viedma,-40.81,-63.0,47.95,52,86,11.1,AR,1592803639
Gangākher,18.95,76.75,89.51,54,80,12.97,IN,1592804103
Thunder Bay,48.4,-89.32,55.99,87,40,4.7,CA,1592803876
Ves'yegonsk,58.66,37.26,65.3,50,47,2.95,RU,1592804103
Kununurra,-15.77,128.73,84.2,19,0,10.29,AU,1592804103
Erdenet,49.03,104.08,63.48,67,74,7.38,MN,1592804103
Barra Patuca,15.8,-84.28,80.91,86,100,12.68,HN,1592804103
Gelibolu,40.41,26.67,68.0,77,56,5.82,TR,1592804103
Slave Lake,55.28,-114.77,60.8,77,1,5.82,CA,1592803994
Talnakh,69.49,88.4,64.4,36,26,17.9,RU,1592803622
Skjervøy,70.03,20.97,47.39,77,89,5.37,NO,1592804104
Maniitsoq,65.42,-52.9,44.94,66,78,6.62,GL,1592804104
Cidreira,-30.18,-50.21,67.6,87,53,7.63,BR,1592803626
Saint-Ambroise,48.55,-71.33,64.99,87,20,16.11,CA,1592804104
Christchurch,-43.53,172.63,48.99,87,29,6.93,NZ,1592804052
Hithadhoo,-0.6,73.08,84.43,66,97,7.7,MV,1592803629
Maumere,-8.62,122.21,82.78,66,60,4.68,ID,1592804104
Port Macquarie,-31.43,152.92,61.0,55,40,9.22,AU,1592803374
Dawson Creek,55.77,-120.24,59.0,47,1,8.05,CA,1592804105
Ulaangom,49.98,92.07,60.06,42,71,11.65,MN,1592804105
Areosa,41.72,-8.86,66.0,100,40,4.7,PT,1592804105
Gōtsuchō,35.0,132.22,77.0,78,20,4.7,JP,1592804105
Bassano,50.78,-112.47,61.0,79,84,6.93,CA,1592804105
Linden,6.0,-58.3,73.22,96,73,1.81,GY,1592804105
Jiazi,22.88,116.07,87.4,75,92,16.44,CN,1592804105
La Santisima Trinidad,-14.83,-64.9,74.39,73,13,3.76,BO,1592804106
Aasiaat,68.71,-52.87,37.69,78,43,5.64,GL,1592804106
Missoula,47.02,-113.8,60.8,51,1,5.82,US,1592804106
Akdepe,42.06,59.38,95.0,14,4,16.11,TM,1592804106
Dabola,10.75,-11.12,71.42,89,99,2.26,GN,1592804106
Burnie,-41.07,145.92,55.99,77,100,3.0,AU,1592803675
Taltal,-25.4,-70.48,56.1,73,2,0.63,CL,1592804106
San Jerónimo,-11.95,-75.28,44.71,77,89,2.28,PE,1592804106
Punto Fijo,11.7,-70.2,80.26,82,90,24.54,VE,1592804107
Hervey Bay,-25.3,152.85,73.0,45,6,5.01,AU,1592804107
Nānākuli,21.39,-158.15,80.6,57,20,4.7,US,1592804107
Vangaindrano,-23.35,47.6,71.13,78,25,3.36,MG,1592804107
Arrondissement du Havre,49.58,0.33,57.2,87,75,5.82,FR,1592804107
Katsuura,35.13,140.3,69.8,94,75,25.28,JP,1592804107
Atambua,-9.11,124.89,81.9,58,13,2.73,ID,1592804107
Kavaratti,10.57,72.64,86.0,79,90,6.93,IN,1592803621
Andenes,69.31,16.12,53.6,87,37,9.17,NO,1592804108
Torres,-29.34,-49.73,65.75,79,0,1.59,BR,1592804108
Polovinnoye,54.79,65.99,59.22,51,3,8.01,RU,1592804108
Kudahuvadhoo,2.67,72.89,84.02,72,100,9.75,MV,1592804108
Kütahya,39.42,29.98,60.8,82,40,4.7,TR,1592803837
Zaysan,47.47,84.87,69.6,23,12,7.65,KZ,1592804108
Warrington,53.39,-2.58,53.01,93,17,9.17,GB,1592804108
Saint-Joseph,-21.37,55.62,75.99,57,37,3.36,RE,1592803683
Pentecoste,-3.79,-39.27,75.0,82,0,1.99,BR,1592804108
Kulachi,31.93,70.46,110.82,14,0,9.48,PK,1592804109
Dunmore Town,25.5,-76.65,81.59,82,100,10.67,BS,1592804109
Alma,48.55,-71.65,77.0,61,20,8.05,CA,1592803901
Mangan,27.52,88.53,84.97,54,77,5.64,IN,1592804109
Kānth,29.07,78.63,103.8,26,0,2.64,IN,1592804109
Tiruttani,13.18,79.61,93.2,44,20,10.29,IN,1592804109
Boyolangu,-8.12,111.89,80.98,80,87,11.88,ID,1592804109
Natal,-5.79,-35.21,73.4,88,14,5.82,BR,1592804109
Newport,51.59,-3.0,53.01,96,20,9.64,GB,1592804110
Darhan,49.49,105.92,70.18,54,92,10.96,MN,1592804110
Kuybysheve,47.36,36.65,70.83,83,84,12.86,UA,1592804110
Biak,-0.91,122.88,81.79,75,85,9.4,ID,1592803666
Lagos,6.58,3.75,77.0,100,40,2.55,NG,1592804110
Havøysund,71.0,24.66,46.4,75,40,6.93,NO,1592804110
Leningradskiy,69.38,178.42,46.85,72,16,17.27,RU,1592803639
Soyo,-6.13,12.37,73.04,83,59,3.4,AO,1592804110
Cologne,50.93,6.95,59.0,87,75,6.93,DE,1592804110
Cayenne,4.93,-52.33,77.0,100,20,7.09,GF,1592803634
Ust-Kuyga,70.02,135.6,81.75,36,99,5.32,RU,1592804111
Tiznit Province,29.58,-9.5,65.7,63,0,0.89,MA,1592804111
Boguchany,58.38,97.45,81.05,42,79,4.54,RU,1592804111
Wajima,37.4,136.9,77.0,53,75,5.82,JP,1592804111
Cockburn Town,21.46,-71.14,82.78,84,14,19.66,TC,1592804111
Seminole,28.71,-81.21,79.0,61,1,5.82,US,1592804111
Fortuna,40.6,-124.16,55.99,93,90,6.93,US,1592803817
Sampit,-2.53,112.95,82.02,89,99,5.26,ID,1592804111
Oistins,13.07,-59.53,82.4,83,40,23.04,BB,1592804111
Sumbe,-11.21,13.84,69.57,82,0,5.99,AO,1592804112
Pocatello,42.87,-112.45,66.2,45,1,13.87,US,1592804112
Nelson Bay,-32.72,152.15,60.01,58,40,16.11,AU,1592804112
Mackay,-21.15,149.2,73.4,78,0,10.29,AU,1592804112
Popondetta,-8.75,148.25,83.25,72,11,5.03,PG,1592804112
Cabra,37.47,-4.44,71.01,42,0,3.15,ES,1592804112
Peleduy,59.63,112.74,78.76,34,25,9.4,RU,1592804112
Denpasar,-8.65,115.22,84.2,79,20,14.99,ID,1592803981
Oddur,4.12,43.89,79.79,55,78,25.26,SO,1592804112
Naze,28.37,129.48,78.8,83,75,19.46,JP,1592803635
Tacoronte,28.48,-16.41,63.0,84,70,1.99,ES,1592804113
Solnechnyy,50.72,136.63,47.17,91,100,6.58,RU,1592804113
Portland,45.52,-122.68,64.99,63,20,9.17,US,1592803392
Kamenka,51.32,42.77,66.0,61,81,8.01,RU,1592804113
Chabahar,25.29,60.64,87.57,67,31,8.21,IR,1592804113
Isangel,-19.55,169.27,77.0,73,75,9.17,VU,1592804113
Vestmannaeyjar,63.44,-20.27,49.26,94,100,11.23,IS,1592803638
Ismailia,30.6,32.27,80.53,46,0,8.55,EG,1592804113
Mitsamiouli,-11.38,43.28,79.61,77,59,8.19,KM,1592804113
Cabedelo,-6.98,-34.83,74.57,76,13,15.43,BR,1592804114
Hay River,60.82,-115.8,62.6,67,40,2.24,CA,1592804114
Sept-Îles,50.2,-66.38,53.01,100,90,8.05,CA,1592804075
Lianzhou,24.78,112.38,93.96,56,99,6.71,CN,1592804114
Henties Bay,-22.12,14.28,53.01,89,43,7.72,NA,1592804114
Maun,-19.98,23.42,46.4,61,0,3.36,BW,1592804114
Debre Birhan,9.68,39.53,61.74,56,48,3.29,ET,1592804114
Palo Alto,37.44,-122.14,64.0,77,1,8.05,US,1592804072
Kinablangan,7.69,126.55,85.1,69,53,6.06,PH,1592804114
Pa Daet,19.5,99.99,91.4,55,20,4.7,TH,1592804115
Matara,5.95,80.54,86.4,66,93,16.13,LK,1592803672
Kot Samaba,28.55,70.47,108.68,22,0,13.56,PK,1592804115
Alofi,-19.06,-169.92,77.0,83,77,6.93,NU,1592804115
Blind River,46.18,-82.96,62.6,100,20,2.24,CA,1592804115
Bilma,18.69,12.92,88.27,12,9,6.04,NE,1592804115
Pirovskoye,57.63,92.27,69.84,48,0,7.02,RU,1592804115
Zhigansk,66.77,123.37,72.77,52,48,8.23,RU,1592803619
Silca,14.83,-86.53,70.63,89,100,1.57,HN,1592804115
Zeya,53.75,127.27,60.57,71,100,1.14,RU,1592804116
Oranjemund,-28.55,16.43,52.97,88,0,4.45,NA,1592804116
Bandar-e Anzali,37.47,49.46,86.0,40,20,4.7,IR,1592804116
Antalaha,-14.9,50.28,73.18,89,91,9.19,MG,1592804116
Bulawayo,-20.15,28.58,51.26,48,0,4.16,ZW,1592804116
Hornepayne,49.21,-84.77,54.03,90,29,4.38,CA,1592804116
Hearst,49.68,-83.67,54.57,85,26,4.81,CA,1592804116
Haines Junction,60.75,-137.51,49.06,51,97,7.14,CA,1592803640
Pacifica,37.61,-122.49,57.99,82,40,11.41,US,1592803867
Batemans Bay,-35.72,150.18,57.99,59,16,4.85,AU,1592804117
Camacha,33.08,-16.33,68.0,77,40,12.75,PT,1592803663
Praia da Vitória,38.73,-27.07,66.2,77,40,13.18,PT,1592804117
Melton,-37.68,144.58,55.0,80,79,10.92,AU,1592803853
Guerrero Negro,27.98,-114.06,62.24,91,10,12.84,MX,1592804054
Muş Province,39.0,41.75,60.8,82,0,2.24,TR,1592804117
Guangyuan,32.44,105.82,87.01,56,87,10.27,CN,1592804117
Raudeberg,61.99,5.14,59.0,94,98,3.78,NO,1592804117
Piranhas,-16.43,-51.82,67.5,57,0,4.7,BR,1592804117
Iralaya,15.0,-83.23,82.09,86,100,13.8,HN,1592804118
Fomboni,-12.28,43.74,79.25,81,52,22.01,KM,1592804118
Tyazhinskiy,56.12,88.52,66.58,49,73,4.63,RU,1592804118
East Wenatchee Bench,47.43,-120.28,66.2,42,1,17.22,US,1592804118
Launceston,-41.45,147.17,52.0,93,75,4.7,AU,1592804062
Arrondissement d'Ajaccio,42.0,8.92,60.8,82,0,5.82,FR,1592804118
Kedgwick,47.64,-67.34,59.83,98,6,3.8,CA,1592804118
Yantal',56.85,105.25,80.01,34,23,8.39,RU,1592804118
Caucayá,-0.19,-74.78,70.27,97,35,1.59,CO,1592804119
Mikhaylovka,50.06,43.24,65.84,73,93,16.93,RU,1592804119
Nhulunbuy,-12.23,136.77,79.5,69,33,16.42,AU,1592804119
Washington,47.5,-120.5,66.2,42,1,17.22,US,1592803624
South River,40.45,-74.39,72.0,88,18,5.06,US,1592804119
Grindavik,63.84,-22.43,51.8,87,75,12.75,IS,1592803622
Brønnøysund,65.46,12.2,75.2,47,10,2.24,NO,1592804119
Novoil'insk,51.68,108.71,71.22,40,100,13.09,RU,1592804119
Chelno-Vershiny,54.43,51.1,55.67,64,0,10.4,RU,1592804119
Ponta Delgada,37.73,-25.67,64.4,93,40,8.05,PT,1592804120
Jining,35.41,116.58,84.51,46,65,10.31,CN,1592804120
Zhangye,38.93,100.45,78.08,26,34,3.09,CN,1592804120
La Democracia,14.23,-90.95,66.2,93,75,13.87,GT,1592804120
Lima,-12.04,-77.03,62.6,82,75,2.24,PE,1592803867
Sokur,55.21,83.32,69.8,40,95,13.42,RU,1592804120
Salem,11.65,78.17,89.6,59,40,5.82,IN,1592804120
Mount Gambier,-37.83,140.77,53.6,93,75,10.29,AU,1592803851
Navolato,24.77,-107.69,81.0,80,0,3.31,MX,1592804120
Pokhara,28.23,83.98,81.77,63,94,2.8,NP,1592804121
Saint George,37.1,-113.58,86.0,12,1,5.82,US,1592803628
Spring Valley,36.11,-115.25,96.8,8,20,8.05,US,1592803955
Flinders,-34.58,150.86,60.01,54,37,5.01,AU,1592803621
Opuwo,-18.06,13.84,49.91,47,0,8.03,NA,1592804121
Magadan,59.57,150.8,60.17,62,2,7.74,RU,1592803950
Davila,18.47,120.58,91.4,70,75,9.17,PH,1592804121
Sola,-13.88,167.55,81.55,81,97,12.71,VU,1592804121
Jiexiu,37.02,111.91,79.39,47,100,8.39,CN,1592804122
Bathsheba,13.22,-59.52,82.4,83,40,23.04,BB,1592804122
Corrales,35.24,-106.61,75.99,17,1,9.17,US,1592804122
Tuban,-6.9,112.06,85.84,66,61,6.71,ID,1592804122
Batticaloa,7.71,81.69,90.79,54,100,16.89,LK,1592804122
Takoradze,4.88,-1.76,76.55,88,97,9.19,GH,1592804122
Saint-François,46.42,3.91,63.0,77,90,6.93,FR,1592804122
Victor Harbor,-35.57,138.62,53.01,94,28,4.0,AU,1592804122
Tanout,14.97,8.89,86.04,14,0,7.25,NE,1592804122
Colac,-38.33,143.58,46.99,99,82,5.01,AU,1592804122
Mandalgovi,45.76,106.27,74.57,29,83,12.12,MN,1592803832
Kerman,30.28,57.08,86.0,20,0,4.7,IR,1592804123
Kralendijk,12.15,-68.27,82.4,88,20,14.99,BQ,1592804023
Bryan,30.67,-96.37,78.8,88,1,6.93,US,1592804048
Yangi Marg`ilon,40.43,71.72,91.4,16,11,2.24,UZ,1592804123
San Buenaventura,27.08,-101.53,88.0,43,81,5.99,MX,1592804123
Bella Vista,36.43,-94.23,69.8,77,1,3.36,US,1592804123
Amapá,1.0,-52.0,71.02,98,72,1.43,BR,1592803642
Macduff,57.67,-2.5,50.0,51,13,3.0,GB,1592804123
Ocós,14.51,-92.19,80.15,82,98,9.8,GT,1592804124
Chavantes,-23.04,-49.71,61.9,73,4,3.47,BR,1592804124
Ola,59.58,151.28,57.18,69,1,9.26,RU,1592804124
Qui Nhon,13.77,109.23,89.11,63,25,17.36,VN,1592804124
Goderich,43.75,-81.72,73.0,80,83,1.01,CA,1592803829
Potiskum,11.71,11.07,78.39,71,80,14.79,NG,1592804124
Champerico,14.3,-91.92,81.07,83,94,9.89,GT,1592804124
Žiežmariai,54.8,24.45,66.2,82,90,4.7,LT,1592804124
Pundaguitan,6.37,126.17,84.56,68,25,5.32,PH,1592804125
Manta,-0.95,-80.73,72.77,87,85,9.8,EC,1592804125
Pemba,-12.97,40.52,73.4,78,75,11.41,MZ,1592803967
High Level,58.52,-117.14,68.0,64,40,10.29,CA,1592804125
Bahía Honda,22.9,-83.16,78.26,85,54,5.57,CU,1592804125
Kamiiso,41.82,140.65,68.0,82,75,10.29,JP,1592804125
Palmer,42.16,-72.33,73.4,73,1,3.36,US,1592803625
Villamontes,-21.25,-63.5,64.89,83,61,0.98,BO,1592804125
Port-Gentil,-0.72,8.78,74.41,86,44,11.95,GA,1592804126
Doha,25.29,51.53,99.0,29,0,11.41,QA,1592803833
Saint-Augustin,51.23,-58.65,49.93,90,78,9.8,CA,1592804126
Bushehr,28.97,50.84,89.6,46,0,11.41,IR,1592804126
Pisco,-13.7,-76.22,57.0,82,24,1.12,PE,1592804126
Sabancuy,18.97,-91.18,79.41,84,20,11.43,MX,1592804126
Nemuro,43.32,145.57,53.6,93,75,3.36,JP,1592804126
Portel,-1.94,-50.82,73.69,95,74,1.43,BR,1592804127
Chilca,-12.52,-76.74,62.6,82,75,2.24,PE,1592804127
Zhezkazgan,47.8,67.71,80.6,11,40,11.18,KZ,1592804127
Baykit,61.67,96.37,81.52,30,15,3.74,RU,1592804127
Lodwar,3.12,35.6,84.47,48,55,5.01,KE,1592804127
Rocha,-34.48,-54.33,55.36,94,100,5.7,UY,1592804006
Necochea,-38.55,-58.74,37.99,97,52,1.99,AR,1592803927
Ciudad Arce,13.84,-89.45,69.01,100,99,1.92,SV,1592803949
Chino Valley,34.76,-112.45,73.99,21,1,5.82,US,1592803923
Ust'-Karsk,52.7,118.81,72.41,40,78,5.79,RU,1592804128
Monte Alegre,-2.01,-54.07,72.82,95,79,4.12,BR,1592804128
Alice,27.75,-98.07,82.4,83,1,13.87,US,1592804128
Merritt Island,28.54,-80.67,80.6,74,1,4.7,US,1592804128
Hastings,50.86,0.57,54.0,87,14,5.82,GB,1592804128
Mazagão,-0.12,-51.29,78.8,100,75,2.24,BR,1592804128
Belyy Yar,53.6,91.39,53.6,93,75,6.71,RU,1592804128
Pak Phanang,8.35,100.2,93.2,63,20,5.82,TH,1592804128
Thinadhoo,0.53,72.93,84.36,70,100,8.68,MV,1592803922
Pyaozerskiy,65.83,31.17,66.7,47,6,9.51,RU,1592804129
St. George's,12.06,-61.75,82.4,83,40,23.04,GD,1592804129
Hirara,24.8,125.28,87.8,79,75,12.75,JP,1592803644
Camacupa,-12.02,17.48,46.65,57,0,3.74,AO,1592804129
Itarema,-2.92,-39.92,76.53,80,30,10.09,BR,1592803628
Moerai,-22.43,-151.33,70.02,73,97,23.06,PF,1592804129
Devonport,-41.17,146.35,55.99,66,95,1.99,AU,1592804129
Itambacuri,-18.03,-41.69,58.46,89,0,0.72,BR,1592804129
Conde,-7.26,-34.91,70.32,81,0,10.6,BR,1592804130
Shenjiamen,29.96,122.3,73.71,95,100,11.05,CN,1592804130
Bamut,43.16,45.2,78.8,50,98,13.42,RU,1592804130
Bitkine,11.98,18.21,79.93,64,100,10.54,TD,1592804130
Peterhead,57.51,-1.8,50.0,76,9,8.05,GB,1592804130
Puerto Carreño,6.19,-67.49,76.26,91,85,3.85,CO,1592804130
Qax,41.42,46.92,75.2,60,75,6.93,AZ,1592804130
Koło,52.2,18.64,64.99,97,100,11.07,PL,1592804130
Portales,34.19,-103.33,84.2,9,1,10.29,US,1592804130
Byron Bay,-28.65,153.62,66.2,39,0,13.87,AU,1592804131
‘Ewa Beach,21.32,-158.01,80.6,57,20,4.7,US,1592804131
Charters Towers,-20.1,146.27,74.3,40,0,10.29,AU,1592804131
Bowen,-20.02,148.23,80.01,36,40,5.82,AU,1592804131
